Team,S,Kills,Errors,Total Attacks,Pct.,Kills_KPS,Per Set_KPS,Assists,Per Set_APS,Block Solos,Block Assists,Per Set_BPS,Opp Kills,Opp Errors,Opp Attacks,Opp Pct,W,L,Pct._WLP
NJIT,101,1134,572,3506,0.16,1134,11.23,1048,10.38,45,259,1.73,1420,490,3635,0.256,5,21,0.192
LMU (CA),105,1176,600,3627,0.159,1176,11.2,1062,10.11,64,321,2.14,1351,529,3674,0.224,7,20,0.259
Austin Peay,109,1199,633,3568,0.159,1199,11,1129,10.36,53,296,1.84,1405,517,3529,0.252,5,23,0.179
Texas Southern,109,1190,626,3573,0.158,1190,10.92,1083,9.94,69,226,1.67,1307,552,3677,0.205,10,20,0.333
Norfolk St.,104,1002,506,3162,0.157,1002,9.63,918,8.83,51,237,1.63,1382,486,3348,0.268,5,24,0.172
Nevada,99,1195,653,3469,0.156,1195,12.07,1104,11.15,48,292,1.96,1206,449,3203,0.236,8,20,0.286
UC Riverside,103,1163,600,3609,0.156,1163,11.29,1073,10.42,43,216,1.47,1361,469,3563,0.25,9,19,0.321
Lafayette,95,1034,489,3495,0.156,1034,10.88,981,10.33,25,287,1.77,1355,517,3598,0.233,4,22,0.154
California,112,1265,674,3811,0.155,1265,11.29,1186,10.59,38,378,2.03,1421,558,3745,0.23,9,21,0.3
Presbyterian,96,1105,533,3694,0.155,1105,11.51,1028,10.71,48,322,2.18,1275,552,3813,0.19,6,20,0.231
ULM,104,1155,577,3759,0.154,1155,11.11,1048,10.08,52,203,1.48,1343,454,3670,0.242,10,20,0.333
North Dakota,98,1060,575,3182,0.152,1060,10.82,973,9.93,20,264,1.55,1223,440,3145,0.249,7,20,0.259
Idaho,106,1244,661,3827,0.152,1244,11.74,1147,10.82,58,252,1.74,1389,567,3880,0.212,6,22,0.214
Cal St. Fullerton,103,1109,563,3603,0.152,1109,10.77,1005,9.76,44,283,1.8,1400,535,3598,0.24,8,22,0.267
Rhode Island,107,1104,589,3445,0.149,1104,10.32,1022,9.55,69,351,2.29,1497,572,3622,0.255,5,25,0.167
Dartmouth,84,896,457,2946,0.149,896,10.67,831,9.89,28,248,1.81,1137,390,2994,0.249,7,17,0.292
Iona,124,1453,755,4704,0.148,1453,11.72,1365,11.01,35,367,1.76,1526,644,4692,0.188,11,21,0.344
Stonehill,115,1221,693,3559,0.148,1221,10.62,1114,9.69,44,236,1.41,1345,513,3363,0.247,6,24,0.2
Evansville,107,1260,676,3944,0.148,1260,11.78,1173,10.96,34,280,1.63,1371,495,3768,0.232,6,22,0.214
Old Dominion,99,1135,629,3426,0.148,1135,11.46,1061,10.72,36,260,1.68,1288,470,3327,0.246,5,22,0.185
Loyola Maryland,95,1078,578,3452,0.145,1078,11.35,992,10.44,46,246,1.78,1228,447,3305,0.236,7,18,0.28
Cleveland St.,99,1083,559,3665,0.143,1083,10.94,1013,10.23,55,252,1.83,1332,481,3602,0.236,6,23,0.207
Saint Peter's,113,1271,702,3981,0.143,1271,11.25,1177,10.42,42,416,2.21,1505,606,3946,0.228,7,22,0.241
Eastern Wash.,102,994,530,3259,0.142,994,9.75,895,8.77,104,285,2.42,1431,533,3508,0.256,3,25,0.107
Pacific,104,1193,692,3607,0.139,1193,11.47,1100,10.58,62,236,1.73,1239,497,3450,0.215,8,21,0.276
Grambling,87,891,509,2770,0.138,891,10.24,826,9.49,30,186,1.41,1037,427,2710,0.225,8,19,0.296
Kansas City,103,1049,590,3498,0.131,1049,10.18,958,9.3,40,289,1.79,1383,527,3642,0.235,3,26,0.103
Southern Utah,92,968,575,3019,0.13,968,10.52,885,9.62,69,240,2.05,1147,453,2893,0.24,3,21,0.125
